Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
stevd,stevd,sstevd.f,dstevd.f,,,,
stevr,stevr,sstevr.f,dstevr.f,,,,
stevx,stevx,sstevx.f,dstevx.f,,,,
sum1,,,,sum1,scsum1.f,dzsum1.f,
sycon,sycon,ssycon.f,dsycon.f,sycon,csycon.f,zsycon.f,
syconv,syconv,ssyconv.f,dsyconv.f,syconv,csyconv.f,zsyconv.f,
syequb,syequb,ssyequb.f,dsyequb.f,syequb,csyequb.f,zsyequb.f,
symv,,,,symv,csymv.f,zsymv.f,
syr,,,,syr,csyr.f,zsyr.f,
syrfs,syrfs,ssyrfs.f,dsyrfs.f,syrfs,csyrfs.f,zsyrfs.f,
sysv,sysv,ssysv.f,dsysv.f,sysv,csysv.f,zsysv.f,
sysvx,sysvx,ssysvx.f,dsysvx.f,sysvx,csysvx.f,zsysvx.f,
syswapr,syswapr,ssyswapr.f,dsyswapr.f,syswapr,csyswapr.f,zsyswapr.f,
sytd2,sytd2,ssytd2.f,dsytd2.f,,,,
sytf2,sytf2,ssytf2.f,dsytf2.f,sytf2,csytf2.f,zsytf2.f,
sytrd,sytrd,ssytrd.f,dsytrd.f,,,,
sytrf,sytrf,ssytrf.f,dsytrf.f,sytrf,csytrf.f,zsytrf.f,
sytri,sytri,ssytri.f,dsytri.f,sytri,csytri.f,zsytri.f,
sytri2,sytri2,ssytri2.f,dsytri2.f,sytri2,csytri2.f,zsytri2.f,
sytri2x,sytri2x,ssytri2x.f,dsytri2x.f,sytri2x,csytri2x.f,zsytri2x.f,
sytrs,sytrs,ssytrs.f,dsytrs.f,sytrs,csytrs.f,zsytrs.f,
sytrs2,sytrs2,ssytrs2.f,dsytrs2.f,sytrs2,csytrs2.f,zsytrs2.f,
tbcon,tbcon,stbcon.f,dtbcon.f,tbcon,ctbcon.f,ztbcon.f,
tbrfs,tbrfs,stbrfs.f,dtbrfs.f,tbrfs,ctbrfs.f,ztbrfs.f,
tbtrs,tbtrs,stbtrs.f,dtbtrs.f,tbtrs,ctbtrs.f,ztbtrs.f,
tfsm,tfsm,stfsm.f,dtfsm.f,tfsm,ctfsm.f,ztfsm.f,
tftri,tftri,stftri.f,dtftri.f,tftri,ctftri.f,ztftri.f,
tfttp,tfttp,stfttp.f,dtfttp.f,tfttp,ctfttp.f,ztfttp.f,
tfttr,tfttr,stfttr.f,dtfttr.f,tfttr,ctfttr.f,ztfttr.f,
tgevc,tgevc,stgevc.f,dtgevc.f,tgevc,ctgevc.f,ztgevc.f,
tgex2,tgex2,stgex2.f,dtgex2.f,tgex2,ctgex2.f,ztgex2.f,
tgexc,tgexc,stgexc.f,dtgexc.f,tgexc,ctgexc.f,ztgexc.f,
tgsen,tgsen,stgsen.f,dtgsen.f,tgsen,ctgsen.f,ztgsen.f,
tgsja,tgsja,stgsja.f,dtgsja.f,tgsja,ctgsja.f,ztgsja.f,
tgsna,tgsna,stgsna.f,dtgsna.f,tgsna,ctgsna.f,ztgsna.f,
tgsy2,tgsy2,stgsy2.f,dtgsy2.f,tgsy2,ctgsy2.f,ztgsy2.f,
tgsyl,tgsyl,stgsyl.f,dtgsyl.f,tgsyl,ctgsyl.f,ztgsyl.f,
tpcon,tpcon,stpcon.f,dtpcon.f,tpcon,ctpcon.f,ztpcon.f,
tprfs,tprfs,stprfs.f,dtprfs.f,tprfs,ctprfs.f,ztprfs.f,
tptri,tptri,stptri.f,dtptri.f,tptri,ctptri.f,ztptri.f,
tptrs,tptrs,stptrs.f,dtptrs.f,tptrs,ctptrs.f,ztptrs.f,
tpttf,tpttf,stpttf.f,dtpttf.f,tpttf,ctpttf.f,ztpttf.f,
tpttr,tpttr,stpttr.f,dtpttr.f,tpttr,ctpttr.f,ztpttr.f,
trcon,trcon,strcon.f,dtrcon.f,trcon,ctrcon.f,ztrcon.f,
trevc,trevc,strevc.f,dtrevc.f,trevc,ctrevc.f,ztrevc.f,
trexc,trexc,strexc.f,dtrexc.f,trexc,ctrexc.f,ztrexc.f,
trrfs,trrfs,strrfs.f,dtrrfs.f,trrfs,ctrrfs.f,ztrrfs.f,
trsen,trsen,strsen.f,dtrsen.f,trsen,ctrsen.f,ztrsen.f,
trsna,trsna,strsna.f,dtrsna.f,trsna,ctrsna.f,ztrsna.f,
trsyl,trsyl,strsyl.f,dtrsyl.f,trsyl,ctrsyl.f,ztrsyl.f,
trti2,trti2,strti2.f,dtrti2.f,trti2,ctrti2.f,ztrti2.f,
trtri,trtri,strtri.f,dtrtri.f,trtri,ctrtri.f,ztrtri.f,
trtrs,trtrs,strtrs.f,dtrtrs.f,trtrs,ctrtrs.f,ztrtrs.f,
trttf,trttf,strttf.f,dtrttf.f,trttf,ctrttf.f,ztrttf.f,
trttp,trttp,strttp.f,dtrttp.f,trttp,ctrttp.f,ztrttp.f,
tzrzf,tzrzf,stzrzf.f,dtzrzf.f,tzrzf,ctzrzf.f,ztzrzf.f,
unbdb,,,,unbdb,cunbdb.f,zunbdb.f,
uncsd,,,,uncsd,cuncsd.f,zuncsd.f,
ung2l,org2l,sorg2l.f,dorg2l.f,ung2l,cung2l.f,zung2l.f,
ung2r,org2r,sorg2r.f,dorg2r.f,ung2r,cung2r.f,zung2r.f,
ungbr,orgbr,sorgbr.f,dorgbr.f,ungbr,cungbr.f,zungbr.f,
unghr,orghr,sorghr.f,dorghr.f,unghr,cunghr.f,zunghr.f,
ungl2,orgl2,sorgl2.f,dorgl2.f,ungl2,cungl2.f,zungl2.f,
unglq,orglq,sorglq.f,dorglq.f,unglq,cunglq.f,zunglq.f,
ungql,orgql,sorgql.f,dorgql.f,ungql,cungql.f,zungql.f,
ungqr,orgqr,sorgqr.f,dorgqr.f,ungqr,cungqr.f,zungqr.f,
ungr2,orgr2,sorgr2.f,dorgr2.f,ungr2,cungr2.f,zungr2.f,
ungrq,orgrq,sorgrq.f,dorgrq.f,ungrq,cungrq.f,zungrq.f,
ungtr,orgtr,sorgtr.f,dorgtr.f,ungtr,cungtr.f,zungtr.f,
unm2l,orm2l,sorm2l.f,dorm2l.f,unm2l,cunm2l.f,zunm2l.f,
unm2r,orm2r,sorm2r.f,dorm2r.f,unm2r,cunm2r.f,zunm2r.f,
unmbr,ormbr,sormbr.f,dormbr.f,unmbr,cunmbr.f,zunmbr.f,
unmhr,ormhr,sormhr.f,dormhr.f,unmhr,cunmhr.f,zunmhr.f,
unml2,orml2,sorml2.f,dorml2.f,unml2,cunml2.f,zunml2.f,
unmlq,ormlq,sormlq.f,dormlq.f,unmlq,cunmlq.f,zunmlq.f,
unmql,ormql,sormql.f,dormql.f,unmql,cunmql.f,zunmql.f,
unmqr,ormqr,sormqr.f,dormqr.f,unmqr,cunmqr.f,zunmqr.f,
unmr2,ormr2,sormr2.f,dormr2.f,unmr2,cunmr2.f,zunmr2.f,
unmr3,ormr3,sormr3.f,dormr3.f,unmr3,cunmr3.f,zunmr3.f,
unmrq,ormrq,sormrq.f,dormrq.f,unmrq,cunmrq.f,zunmrq.f,
unmrz,ormrz,sormrz.f,dormrz.f,unmrz,cunmrz.f,zunmrz.f,
unmtr,ormtr,sormtr.f,dormtr.f,unmtr,cunmtr.f,zunmtr.f,
upgtr,opgtr,sopgtr.f,dopgtr.f,upgtr,cupgtr.f,zupgtr.f,
upmtr,opmtr,sopmtr.f,dopmtr.f,upmtr,cupmtr.f,zupmtr.f,
chla_transtype,,,,,,,chla_transtype.f
ieeeck,,,,,,,ieeeck.f
ladiag,,,,,,,iladiag.f
laprec,,,,,,,ilaprec.f
latrans,,,,,,,ilatrans.f
lauplo,,,,,,,ilauplo.f
