Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
gtcon,gtcon,sgtcon.f,dgtcon.f,gtcon,cgtcon.f,zgtcon.f,
gtrfs,gtrfs,sgtrfs.f,dgtrfs.f,gtrfs,cgtrfs.f,zgtrfs.f,
gtsv,gtsv,sgtsv.f,dgtsv.f,gtsv,cgtsv.f,zgtsv.f,
gtsvx,gtsvx,sgtsvx.f,dgtsvx.f,gtsvx,cgtsvx.f,zgtsvx.f,
gttrf,gttrf,sgttrf.f,dgttrf.f,gttrf,cgttrf.f,zgttrf.f,
gttrs,gttrs,sgttrs.f,dgttrs.f,gttrs,cgttrs.f,zgttrs.f,
gtts2,gtts2,sgtts2.f,dgtts2.f,gtts2,cgtts2.f,zgtts2.f,
hbev,sbev,ssbev.f,dsbev.f,hbev,chbev.f,zhbev.f,
hbevd,sbevd,ssbevd.f,dsbevd.f,hbevd,chbevd.f,zhbevd.f,
hbevx,sbevx,ssbevx.f,dsbevx.f,hbevx,chbevx.f,zhbevx.f,
hbgst,sbgst,ssbgst.f,dsbgst.f,hbgst,chbgst.f,zhbgst.f,
hbgv,sbgv,ssbgv.f,dsbgv.f,hbgv,chbgv.f,zhbgv.f,
hbgvd,sbgvd,ssbgvd.f,dsbgvd.f,hbgvd,chbgvd.f,zhbgvd.f,
hbgvx,sbgvx,ssbgvx.f,dsbgvx.f,hbgvx,chbgvx.f,zhbgvx.f,
hbtrd,sbtrd,ssbtrd.f,dsbtrd.f,hbtrd,chbtrd.f,zhbtrd.f,
hecon,,,,hecon,checon.f,zhecon.f,
heequb,,,,heequb,cheequb.f,zheequb.f,
heev,syev,ssyev.f,dsyev.f,heev,cheev.f,zheev.f,
heevd,syevd,ssyevd.f,dsyevd.f,heevd,cheevd.f,zheevd.f,
heevr,syevr,ssyevr.f,dsyevr.f,heevr,cheevr.f,zheevr.f,
heevx,syevx,ssyevx.f,dsyevx.f,heevx,cheevx.f,zheevx.f,
hegs2,sygs2,ssygs2.f,dsygs2.f,hegs2,chegs2.f,zhegs2.f,
hegst,sygst,ssygst.f,dsygst.f,hegst,chegst.f,zhegst.f,
hegv,sygv,ssygv.f,dsygv.f,hegv,chegv.f,zhegv.f,
hegvd,sygvd,ssygvd.f,dsygvd.f,hegvd,chegvd.f,zhegvd.f,
hegvx,sygvx,ssygvx.f,dsygvx.f,hegvx,chegvx.f,zhegvx.f,
herfs,,,,herfs,cherfs.f,zherfs.f,
